Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts
Time Slowly Slippin',Reflections,LAZA,11/25/2022,1736,35,,5,367,,492594923,1652234,,,,,,2,,,,,9
"Alone, Pt. IIAlone, Pt. II",Alan Walker,12/27/2019,1740,35,606284550,81259,19361013,69,410411873,5873984,1859523,74967409,967965294,187346605,57,84664,13,3922831,4164,,5281784
El Tsurito,El Tsurito,Junior H,4/7/2023,1741,35,257812063,24070,9835143,69,185512305,813988,62900,9583585,80538339,,18,2,6,8526077,1218,,391732
GOOD LOYAL THOTS,GOOD LOYAL THOTS,Odetari,3/15/2023,1734,35,222975417,36832,6604256,71,45543286,773400,803702,104617204,664995622,,2,1,,1396913,3191,321968,606670
No Me Acuerdo,No Me Acuerdo,Thalia,6/1/2018,1733,35,367530155,32622,11307517,60,1521849468,5084821,277425,6574575,160130753,380344538,46,15503,31,20732370,17495,,1746790
Abcdario,Abcdario,Eden Muï¿½ï,5/13/2023,1738,35,262504588,19709,8079760,72,149083889,660503,1,33,939,10312183,20,1140,3,8484383,4718,2834823,657427
Freestyle,Too Hard,Lil Baby,12/1/2017,1735,35,706489684,169855,37807345,75,755884858,3716581,33905,16142417,109113917,250831157,83,797,10,145578693,81846,,2193924
Una Locura,ENOC,Ozuna,9/4/2020,1732,35,584776407,77768,24701564,66,634293431,2732963,54400,4039386,53047506,31169927,91,10020,31,19304549,3277,,1497732
double take,double take,Dhruv,5/24/2019,1737,35,826685494,106975,21112809,76,353174602,2826209,2516713,555171983,4653743727,166290699,39,13341,4,433712,1592,10994470,1873276
Trip,Trip,Ella Mai,8/3/2018,1747,34.9,502147027,69350,20445990,66,543883053,3896527,1444867,22688020,208386139,95476628,64,131301,22,318057593,144672,,3345381
Ni Una Ni Dos,Ni Una Ni Dos,BM,6/28/2023,1743,34.9,139873877,17771,7444560,65,177205271,711929,56200,2482467,28960322,223572730,,3206,14,,,,151799
Un Desperdicio,Un Desperdicio,Rels B,4/25/2024,1750,34.9,62552825,3045,44211129,78,16726488,252529,,,,3058545,4,52,13,133038,56,,95975
El Boss,El Boss,Gabito Ballesteros,3/28/2024,1746,34.9,81942319,3580,30332860,84,34566311,283283,,,,,10,1,16,460206,191,,71332
La Corriente,Un Verano Sin Ti,Bad Bunny,5/6/2022,1745,34.9,591704263,65115,16254572,71,179847217,1213273,120800,26994022,266064027,24137183,12,6564,3,36848007,3102,,977339
POLARIS - Remix,POLARIS (Remix),SAIKO,6/8/2023,1749,34.9,238718077,44094,17083557,69,62158239,412554,,,,4863567,39,3846,13,195992,,,415040
Love Tonight - David Guetta Remix Edit,Love Tonight (David Guetta Remix),Shouse,6/11/2021,1748,34.9,449513936,160789,40271009,72,1063180,11919,310148,90949587,1286306864,,78,24500,21,25598460,7330,,
5 Foot 9,5 Foot 9,Tyler Hubbard,5/20/2022,1742,34.9,193680404,27754,13141220,65,893876,7807,104632,16161805,161738459,,18,283251,29,88808802,26418,5072427,670234
Mejor Que Ayer,Mejor Que Ayer - Single,Diego Torres,8/31/2023,1744,34.9,28210202,5046,2986473,,31452943,243718,823103,5145272,108989284,23885728,1,24023,,239648,247,,350257
Lalala,Lalala - Single,ati2x06,1/17/2024,1751,34.8,966112900,1,124,,,,,,,,,,,,,,
Broadway Girls (feat. Morgan Wallen),Broadway Girls (feat. Morgan Wallen),Lil Durk,12/17/2021,1758,34.8,344369903,66276,8339705,72,208397689,1732879,45015,10444331,130467912,483357127,21,1354,18,101260772,56855,,811835
Se Te Nota (with Guaynaa),Se Te Nota (with Guaynaa),Lele Pons,9/2/2020,1756,34.8,437956158,52166,18095179,62,536897289,3802052,1700000,122204815,1108855948,265176894,62,21532,19,15039693,4470,,1265186
Ameno Amapiano Remix (You Wanna Bamba),Ameno Amapiano Remix - Single,Goya Menor,1/7/2022,1759,34.8,62243984,26772,2001961,51,71389072,723554,3000259,507480021,8578793997,1494669,36,25673,,,,,4626627
Canon and Gigue for Three Violins and Continuo in D Major: Canon,"The Academy in Concert. Albinoni: Adagio - Pachelbel: Canon - Bach: Air & Music By Beethoven, Handel, Mendelssohn, Mozart",Sir Neville Marriner,5/17/2024,1752,34.8,88934872,4,188,,,,,,,,,,,10974994,3270,,
See You Dance (Extended Mix),See You Dance (Extended Mix) - Single,DJ Meetch,3/6/2023,1760,34.8,,1,137,4,402618045,2927219,,,,152211,,3,,,,,19
Cake By The Ocean - Cover,Tik Toker Party Hits,MUSIC LAB JPN,10/5/2023,1753,34.8,1619109147,,,,,,,,,,,,,,,,
MAMACITA,Mamacita,Black Eyed Peas,4/9/2020,1755,34.8,527632887,84301,21657743,58,395922237,2379259,676395,37832920,479492465,173481731,122,136368,26,48979157,28733,,6266607
I Took A Pill In Ibiza - Seeb Remix,I Took A Pill In Ibiza (Seeb Remix),Mike Posner,7/24/2015,1757,34.8,1949596473,230708,75554079,76,28931814,344218,86209,13537686,141060421,11818,232,121489,44,424769855,323572,,23744240
No Fuss,Take Me Alive,Zeme Libre,1/31/2023,1754,34.8,1332,5,1470,,411286256,1717893,,,,,,8,,,,,3
El Efecto,El Efecto,Rauw Alejandro,3/15/2019,1766,34.7,580054244,72991,32213511,72,994008600,4660138,224269,39436962,404797553,153838066,26,7887,22,23201439,5578,,2734291
What Lovers Do (feat. SZA),What Lovers Do (feat. SZA),Maroon 5,8/30/2017,1763,34.7,1206495254,92624,27086243,68,729438090,3360678,2283,8158792,50038733,631907969,131,99290,42,357633540,82582,,11431801
Dream Girl,Dream Girl,Izellah,3/23/2023,1762,34.7,377401,48,19503,30,,,1900000,22131953,370465516,,,,,,,,14725
Zona De Perigo,Zona De Perigo,Leo Santana,12/8/2022,1764,34.7,182793453,18476,8152728,61,202826223,1281118,1000000,129460794,1821638330,29439094,15,1965,14,76819,,,
Crazy Form,THE WORLD EP.FIN : WILL,ATEEZ,12/1/2023,1765,34.7,58520078,5454,5075458,,123416768,976454,8035,14763613,62979168,1488882238,9,1452,9,414834,516,12328,143319
Kehribar,Kehribar - Single,Burak Bulut,9/29/2023,1761,34.7,68985345,7062,5463250,67,158339797,375656,37700,311331,13290393,388282635,5,,,,,,280877
SAY MY GRACE (feat. Travis Scott),SET IT OFF,Offset,10/13/2023,1770,34.6,118851626,37413,40394035,,9045800,253282,,602272,5441741,259031618,23,1577,3,2172626,508,,
Drugs From Amsterdam,Drugs From Amsterdam,Mau P,8/17/2022,1776,34.6,170829903,97012,41938004,68,20734303,268271,16820,9430231,125870792,5679523,30,26450,8,1103480,970,,1386260
M.A - Remix,M.A (Remix),BM,4/5/2023,1768,34.6,123113806,23659,5505641,61,227307854,698274,,,,149539951,4,2825,13,,,,159702
BBY BOO (REMIX),BBY BOO (REMIX),iZaak,3/27/2024,1771,34.6,92573075,9510,54471531,80,639184,11248,,10500,102900,,31,668,28,711373,583,,311199
What My World Spins Around,What My World Spins Around,Jordan Davis,5/27/2022,1769,34.6,225128269,23133,12193936,71,6417626,36749,19339,3634753,33305600,8173626,26,309999,7,126764513,9775,1153317,820952
HOLIDAY,HOLIDAY,Lil Nas X,11/13/2020,1774,34.6,551719564,101852,11132603,61,298362799,5071208,612523,205216366,1449949822,34528618,85,63905,13,15910741,47587,,1571647
Beautiful People (feat. Khalid),Beautiful People (feat. Khalid),Ed Sheeran,6/28/2019,1775,34.6,1394345347,119546,43578048,66,634929672,4748135,672092,42325420,449458094,796384125,,439,57,,,,
Son Of A Sinner,Ballads Of The Broken,Jelly Roll,9/17/2021,1773,34.6,189577521,32091,3315491,70,167631264,1282588,89522,13788353,170725017,523029658,,261308,,110527184,54915,3373779,
On My Grind,Block Music,OG Eat,11/23/2022,1767,34.6,,,,,,,,,,,,,,,,,30698299
Animals,Full Circle: The Live Anthology,Maroon 5,11/20/2011,1772,34.6,1365755853,183681,46890920,74,1285233400,8881918,632606,91997812,694003171,646244393,40,74610,18,542517832,319847,11268399,8434236
Kurchi Madathapetti,"Kurchi Madathapetti (From ""Guntur Kaaram"") - Single",Thaman S,12/30/2023,1777,34.6,43280156,1397,2069274,,123586274,1114900,,,,1464327043,2,24,13,,,,172357
DNA,Love Yourself ï¿½ï¿½ï¿½,BTS,9/18/2017,1778,34.5,632727904,26053,8457280,63,1758381885,26790883,402921,92435774,537359844,135121227,34,2143,,,,,1075755
EXCESOS,Pa las Baby's Y Belikeada,Fuerza Regida,10/20/2023,1785,34.5,140289944,11244,6732068,,102146155,355596,,558350,5016260,419693279,24,73,1,8663386,2170,,364193
VVV,VVV,mikeeysmind,10/21/2023,1782,34.5,66104800,18865,2295894,,20813530,308805,413000,17404126,144294559,1045559887,,3,,46806,86,,1101523
EL BARCO,EL BARCO,KAROL G,3/25/2021,1780,34.5,304116211,21517,8048081,72,692863553,2439195,186881,13802946,184413760,716282244,32,5957,14,47500299,14392,,701730
Ahora Dice,Ahora Dice,Chris Jedi,3/17/2017,1779,34.5,661732009,61561,20760337,68,1555093288,6076859,345,262718,1702529,177167591,25,3761,28,155137197,43246,,2529986
Breakfast Challenge Song (Slowly),Breakfast Challenge Song (Slowly),SPENCE,6/22/2021,1781,34.5,861521,374,206771,14,273898,2095,6140453,439126369,6861330893,,,,,,28,,215105
Heaven,Heaven,Niall Horan,2/17/2023,1784,34.5,229993968,29447,13951617,68,25068301,605989,76768,30680818,303361656,7773249,56,153416,21,11303585,1836,,1752464
Fingers Crossed,Fingers Crossed,Lauren Spencer Smith,1/5/2022,1783,34.5,437029775,71202,18194896,67,60320365,602827,52700,31427513,261236772,2169985836,59,167522,31,38926392,27268,,2895512
This Side of Paradise,Color,Coyote Theory,12/11/2020,1789,34.4,515923885,121767,25106201,72,166794513,2438100,520891,383884667,2574138698,6350,7,18,,2672470,8628,9678283,2561309
Pipoco,Pipoco,Ana Castela,5/20/2022,1794,34.4,238890270,27066,8621319,60,384799195,2963384,465300,88637887,1298188205,525707358,14,4831,11,,,,411758
Don't Go Yet,Don't Go Yet,Camila Cabello,7/23/2021,1791,34.4,499085551,64967,25228814,62,189120015,2445070,193708,100580695,864218422,922572446,125,199403,30,14153785,4185,,3990487
My Baby,My Baby,Diamond Platnumz,2/3/2023,1787,34.4,,757,61488,30,25504572,187689,2579200,23151822,341343712,9191413,,252,,15614,151,,201503
DNA (Loving You) [feat. Hannah Boleyn],DNA (Loving You) [feat. Hannah Boleyn] - Single,Billy Gillies,7/28/2023,1792,34.4,71722674,15522,22597896,68,25459927,162133,17628,791989,18182823,131619237,43,55349,19,7167,64,7973941,952963
The Magic Bomb,The Magic Bomb,Hoï¿½ï¿½ng,4/20/2021,1788,34.4,4224438,2333,240248,31,4404312,94056,6400664,838003900,10173667723,994101,3,3,3,889278,717,,13990
How Far I'll Go,Moana (Original Motion Picture Soundtrack/Deluxe Edition),Auli'i Cravalho,11/18/2016,1793,34.4,611088459,48476,19235449,67,1505578850,5184385,150273,18075637,149410833,46918755,87,592,21,167139739,287679,,
Paani Paani,Paani Paani,Badshah,6/9/2021,1790,34.4,89815962,9126,3802888,54,850941688,6694074,,,,158313518,8,1560,11,125172,,,176468
Static,Gemini Rights,Steve Lacy,7/15/2022,1786,34.4,304386086,69159,17570340,72,18632784,257442,326956,217253263,1303631045,86936272,22,2174,1,1716467,4865,10581141,651001
Through Da Storm,Die A Legend,Polo G,6/7/2019,1800,34.3,351007818,105025,7074555,64,186297690,1709390,16973,8083973,55106493,6427525,2,283,,51567061,32915,66792003,713131
Sabran,Sabran,AL SHAMI,2/10/2024,1801,34.3,5501185,613,980583,,94138006,852151,,,,1110946120,4,99,,,,,118843
Komet,Komet,Udo Lindenberg,1/19/2023,1796,34.3,223211332,47584,5249832,68,83855008,603186,93,5456,95067,292977607,27,67360,9,,,,940223
In the End,Hybrid Theory (Bonus Track Version),Linkin Park,10/24/2000,1803,34.3,2045512421,324745,99290558,82,2375021286,17765456,522553,63993059,729532806,1256171581,16,186149,52,832288547,304965,29420155,26145
La Bicicleta,La Bicicleta,Carlos Vives,5/27/2016,1802,34.3,697574595,60309,20351309,69,1691997312,4789339,417978,54674912,945038658,343201999,86,18701,65,57536813,92844,,4026835
Hecha Pa' Mi,Mas Negro Que Rojo,Boza,7/31/2020,1797,34.3,627556563,87091,25572110,67,315121318,1921904,1957950,109942926,829202200,17231013,110,31933,12,1524695,1786,,1608693
SPIT IN MY FACE!,Spit in My Face! - Single,ThxSoMch,10/31/2022,1798,34.3,516541770,50163,5857724,,153636776,2047892,153401,73405119,893095805,86778108,,112,,,,,
Caramelo,Caramelo,Ozuna,6/11/2020,1795,34.3,508151972,68478,20213678,56,585332283,2893537,694200,40465854,387733644,163225146,68,10140,42,29787813,10115,5879892,1234460
Calling My Spirit,Calling My Spirit,Kodak Black,11/30/2018,1799,34.3,298721490,69136,7558306,59,162438129,1112123,4175,1012306,13981094,31915591,18,1745,1,157802481,36367,96277540,684516
Virtual Angel,<Dall>,ARTMS,5/31/2024,1810,34.2,2371467,241,4606660,,11364565,212716,,,,,7,16,7,209,,,4320
Everybody Dies In Their Nightmares,17,XXXTENTACION,8/25/2017,1812,34.2,1590659204,203764,34418293,77,567076854,7875127,322403,76923633,616913553,29039651,26,29,8,99032560,70564,,2444041
Maria Mariah,Maria Mariah,JC NO BEAT,11/17/2023,1811,34.2,33605864,12453,3161785,32,107114515,805527,,1970109,25541775,488737787,4,342,14,,,,160253
"Shaitan Ka Saala (From ""Housefull 4"")Shaitan Ka Saala (From ""Housefull 4"")",Sohail Sen,10/7/2019,1805,34.2,35269135,3782,1470547,44,1364545600,4782629,,1462995,19469573,97746040,4,241,6,,,,167685
Fï¿½ï¿½S,Fï¿½ï¿½S,Britney Manson,8/11/2023,1808,34.2,140756753,20909,5720836,36,60902734,885239,425901,139431702,982755143,84060916,,11,,378942,1511,,459549
Danza Kuduro (feat. Lucenzo),100% tubes de l'ï¿½ï¿½tï¿½ï¿½ 2018 : La bande son 100,Don Omar,6/15/2018,1809,34.2,1655575417,1108,64350,40,1498854054,6607472,9,371,8882,155196257,,,,,,,
Spokojnie,Ninja,HOT DONUTS,2/26/2023,1807,34.2,,1,17,,407197875,1302211,,,,,,1,,,,,
Me Niego (feat. Ozuna & Wisin),Me Niego,Reik,2/16/2018,1814,34.2,708166969,58098,19508090,66,1209951349,4611513,382728,36505321,263244094,291869556,64,13342,30,142883611,29182,,4094040
"Sheï¿½ï¿½ï¿½s Gone, DaSheï¿½ï¿½ï¿½s Gone, Da",Disclosure,5/29/2024,1813,34.2,7021860,2000,61759962,,149674,5277,,146800,816500,,52,1746,41,25891,20,189590,40920
ıııııııııııııııııııııııııııııı,ıııııııııııııııııııııııııııııı,Parkmalody,10/14/2023,1804,34.2,13900332,1737,402173,,65378730,231736,847700,4605027,59606925,26646344,3,958,,,,,24734
Ma Fi Leil,Ma Fi Leil,Nassif Zeytoun,4/16/2024,1806,34.2,1579231,195,741333,,43912255,427835,,,,2635256,4,124,,,,,83701
NEON BLADE,NEON BLADE,MoonDeity,6/1/2022,1821,34.1,256121980,60620,23882871,68,223554131,2671018,137960,139402074,1479505358,50959369,16,1,1,1738308,3599,,2490025
Ho Hey,The Lumineers,The Lumineers,1/1/2012,1818,34.1,1273869800,214511,64606098,76,370952126,2847630,28712,25451026,172101115,213556549,148,242121,53,815332673,520710,13370304,17971225
Corrido de Juan Armenta,Los Temas de Mis Pelï¿½ï¿½c,Vicente Fernï¿½ï¿½,5/27/2024,1816,34.1,68134,3,138,,,,,,,,,,,10721923,6628,,
Frozen,Frozen,Madonna,12/3/2021,1817,34.1,171060866,62420,13385720,62,39445207,832416,1812874,58132303,954943543,7699,17,12696,2,17914746,3997,,6425997
Mahiye Jinna Sohna,Mahiye Jinna Sohna,Darshan Raval,6/22/2023,1823,34.1,208410725,14238,8924766,66,117750348,1330374,496900,14803092,327071314,85756632,3,597,16,4121,18,,242339
Pain,Pain,PinkPantheress,2/5/2021,1819,34.1,595213841,124555,17910647,77,47759635,771300,206470,115511396,640679729,201866,33,1073,,2317940,3730,20459627,719198
T.B.H,1st Mini Album 'MANITO',QWER,4/1/2024,1822,34.1,4579390,569,2440321,59,54015483,299452,,,,9441934,8,,,,,,44505
Arms Around You (feat. Maluma & Swae Lee),Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,10/25/2018,1815,34.1,587673746,88533,17023029,65,490164687,7575841,108400,2994730,15353974,210200706,34,30031,6,38836032,28986,51950035,3904200
Titliaan,Titliaan,Afsana Khan,11/9/2020,1820,34.1,60103893,7617,1238881,54,996649537,9168790,151100,1406442,44461309,23808458,4,310,2,1935,,,230094
Save Your Tears,After Hours (Deluxe),The Weeknd,3/20/2020,1827,34,1995511952,8264,1155540,49,,,,,,,68,916627,,,,,
Padam Padam,Padam Padam,Kylie Minogue,5/18/2023,1826,34,142783595,27586,18160338,43,39579610,426906,49769,16387200,266934347,317063172,117,97932,87,2872697,3783,,1166124
Pacto (feat. Bryant Myers & Dei V) - Remix,Pacto (Remix) [feat. Bryant Myers & Dei V],Jay Wheeler,7/28/2023,1829,34,112634428,23871,11484313,64,116848094,896215,,,,10987919,10,1217,15,1644547,1260,927877,268439
Finesse,Finesse,Pheelz,3/3/2022,1830,34,162356099,67124,8539093,62,27222424,253527,813201,95230456,1145039714,966941,77,70941,27,11491383,2501,4604430,4200295
Bad Blood,1989 (Deluxe),Taylor Swift,1/1/2014,1834,34,602316735,64462,20443761,67,1643019828,10410620,169764,142146594,998836191,568822896,91,12331,8,442671630,511323,387051,3046517
SNAP,SNAP - Single,Rosa Linn,3/19/2022,1828,34,1033308414,53249,27556242,1,12702613,214200,420936,170964850,1837588984,75492508,,169034,,33378778,6855,,
La Intenciï¿½,La Intenciï¿½,Christian Nodal,1/26/2024,1831,34,119369458,5866,19272195,,38415068,389722,43600,16305600,171858600,315995610,18,8223,25,9198529,1038,,380747
Crazy What Love Can Do,Only Honest On The Weekend (Deluxe),David Guetta,3/18/2022,1825,34,371288040,69527,53951706,69,42623147,297084,5644,1282246,19793657,2591798957,111,205826,40,4516525,729,,2246791
Man Made A Bar (feat. Eric Church),One Thing At A Time,Morgan Wallen,3/3/2023,1824,34,175095439,21001,6637673,75,61848993,311636,52412,3106312,21618436,80192815,25,109675,6,44998795,7316,1864234,268281
Volvï¿,Volvï¿½ï¿½ - Si,Aventura,8/3/2021,1833,34,780755736,107320,35444438,72,89683527,493296,30301,6103064,49294071,,97,39183,46,69320555,14510,,1804089
Bijlee Bijlee,Bijlee Bijlee - Single,Harrdy Sandhu,10/30/2021,1832,34,185690034,20169,4249749,62,653915314,6109560,26625,3745325,52219515,,13,1527,6,835141,472,,326010
Super,ııııııııı ıııııı10ııı 'FML' - EP,SEVENTEEN,4/24/2023,1839,33.9,210481840,14690,8191208,67,209677493,2906443,95008,178551449,1027127321,571782627,29,3674,24,645104,601,,491972
Diamonds,Diamonds,Sam Smith,9/17/2020,1835,33.9,411109963,53928,10287976,58,205575225,1908534,142900,23431333,254269639,48735190,133,403730,35,77375004,11904,,5268930
Do I Wanna Know?,AM,Arctic Monkeys,1/1/2013,1837,33.9,2188592950,361827,91030520,81,457550865,4610448,13917,12237124,71629637,56377,149,2204,34,308026596,156277,,10708249
Self Love (Spider-Man: Across the Spider-Verse),METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),Metro Boomin,6/2/2023,1838,33.9,168713011,40836,5604951,68,42717660,479690,,,,28182,37,1635,2,548106,2911,4059933,371164
It's Not Right But It's Okay,It's Not Right (But It's Ok),Mr. Belt & Wezol,2/23/2024,1841,33.9,56343820,9047,82301244,78,1245263,8718,,,,,35,25492,33,2147,23,,570335
Sweet Dreams,Sweet Dreams,Koe Wetzel,5/17/2024,1836,33.9,20827832,2016,9370898,75,3054416,50012,,,,34213155,24,163,20,3202724,2499,254896,23699
Mittelmeer,Mittelmeer,Pashanim,5/23/2024,1840,33.9,20583156,3159,12002200,76,1094955,53918,,,,,22,775,19,,,,24801
Another Love,Songs from Another Love,Tom Odell,1/1/2012,1842,33.9,2444335468,380675,168483196,83,996981745,9104648,452786,77257465,714451407,858018753,137,36017,30,,,,
Djadja,Djadja,Aya Nakamura,4/6/2018,1849,33.8,449300755,100823,11604346,65,1085070267,6471346,91851,11755003,125615755,150274308,124,23057,42,1232850,4071,,8075024
LOOK DONï¿½ï¿½ï¿½T TOUCH (feat. cade,LOOK DONï¿½ï¿½ï¿½T TOUCH (feat. cade,Odetari,5/17/2023,1848,33.8,184630078,29450,3853996,69,63500291,813255,66100,15513962,102841979,69529,2,4,,1043199,2591,6749208,683699
We Are The People - southstar Remix,We Are The People (Southstar Remix),Empire Of The Sun,2/17/2023,1847,33.8,131670125,46791,23537698,66,,,14500,1854474,24090347,,29,6116,7,7916,,13381317,764949
"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne,4/22/2021,1845,33.8,329901408,127068,10900641,59,139803282,2011079,823150,666189916,5034712644,5387519,56,5281,13,396981,1386,,1625019
Piyar Farak Wali,Piyar Farak Wali,Pawan Singh,4/24/2023,1846,33.8,30668840,681,196547,60,324783065,1774598,1170,64466,967073,,,,,,,,24271
Timber (feat. Ke$ha),Greatest Hits,Pitbull,1/1/2009,1850,33.8,1477150302,241550,126126362,79,1751763286,7958745,1011744,145705571,1166623514,597231371,166,98296,35,56047915,116438,45784258,13339874
Little Life,Little Life,Cordelia,10/19/2023,1844,33.8,15433188,5294,5121873,,1480668,47307,1112614,310478118,2139918587,3395360,10,250,5,48577,571,,165267
LOVE YOU BETTER,I NEVER LIKED YOU,Future,4/29/2022,1843,33.8,128787729,37150,4216777,63,56487397,578887,35830,4458009,39913325,11069874,12,260687,5,85707959,10837,,903005
Woah,Woah,Lil Baby,11/8/2019,1851,33.8,420627588,104460,14977024,60,448194116,3160800,203312,26617282,225572938,9769097,76,80703,25,141082301,75459,,1977941
As If It's Your Last,As If It's Your Last,BLACKPINK,6/22/2017,1858,33.7,594775179,39525,11903640,70,1658892938,17870955,380060,85311100,716217499,176351895,28,3547,8,7982471,15956,,1387663
679 (feat. Remy Boyz),679 (feat. Remy Boyz),Fetty Wap,6/29/2015,1863,33.7,808010338,130977,25603956,71,690889020,4272301,1014761,52308653,243314330,258112509,1,44246,,,,91184574,4663057
DE LUNES A LUNES,DE LUNES A LUNES - Single,Manuel Turizo,8/24/2023,1856,33.7,178247858,12797,13650757,73,104715392,352213,12100,2454985,26823518,37557065,17,15249,5,19861700,1116,,415549
Whistle,Whistle (feat. Calum Scott),Jax Jones,2/10/2023,1859,33.7,150399875,24147,33879427,68,31790864,197887,8960,2341316,59124615,144744994,58,179831,9,1523762,,1747201,1848814
Look At Me!,Look At Me!,XXXTENTACION,2/20/2017,1864,33.7,1432465000,178342,32522476,75,529846128,11029532,3523215,235606523,2685984395,2295267,36,317,3,,,,
Thang For You (feat. No Cap),Thang For You (feat. No Cap),Rylo Rodriguez,6/23/2023,1860,33.7,34566972,14562,6350457,54,63064761,306628,199169,17792202,155967629,279837629,17,,7,7359694,5246,9659624,706470
Before You Leave Me,Before You Leave Me,Alex Warren,2/16/2024,1854,33.7,99946842,9128,36536793,78,4417747,54887,,309855,2306041,47328686,21,10826,27,2870114,552,1285921,310024
2Humpy is Back,2Humpy is Back,2Rare,4/5/2024,1861,33.7,299871,71,576253,,,,387200,5817255,40815691,,1,1,7,82867,56,,20511
XO Tour Llif3,Luv Is Rage 2,Lil Uzi Vert,8/25/2017,1855,33.7,2123458039,250221,69341164,77,333716726,2350373,972025,39843516,293246122,9538431,6,185,,,,,28504
"break up with your girlfriend, i'm boredthank u, next",Ariana Grande,2/8/2019,1857,33.7,975281654,82431,31929703,69,672090558,7230344,66530,29856824,218317192,920848561,74,52163,19,162544700,135795,,2386682
la noia,La noia,Angelina Mango,2/7/2024,1853,33.7,81694468,4777,7822812,80,47424040,377348,,173700,4000000,251776060,28,14334,23,3551,,12350,262811
Nothing Breaks Like a Heart (feat. Miley Cyrus),Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,11/30/2018,1852,33.7,942092206,129847,59476416,68,561103775,5753715,247441,154388347,1462282216,1257603748,106,19349,32,33775179,23653,,11510830
TUS Lï¿½ï¿½GR,Microdosis,Mora,4/1/2022,1862,33.7,231258162,42133,12601998,64,143774447,773465,1754800,79825538,760223916,317485352,27,5833,20,3321809,662,,616275
The EPA Song,Make It Myself,Ants on a Log,3/31/2023,1876,33.6,,3,56,,369121448,410669,,,,,,2,,,,,1
La solution,Voodoo belge,Marka,2/3/2023,1871,33.6,1537,3,226,,414936783,442757,,,,,,3,,,,,
Pump,Pump,Valentino Khan,5/26/2017,1873,33.6,67890975,26030,3848842,42,3506898,39237,13018365,197043302,3438499599,,38,859,,3722073,5476,,1775117
Higher Love,Higher Love,Kygo,6/28/2019,1875,33.6,943137389,117582,79382957,67,315848540,1595053,43336,9354620,94552478,93310119,302,243385,98,54000735,46744,,5337579
WORTH NOTHING (feat. Oliver Tree) - Fast & Furious: Drift Tape/Phonk Vol 1,WORTH NOTHING (feat. Oliver Tree) [Fast & Furious: Drift Tape/Phonk Vol 1],TWISTED,9/28/2022,1868,33.6,299202591,67616,26749482,67,36393651,720855,418361,408682791,5978876777,1312638,21,796,,3556887,3088,,2693410
Friends,FRIENDS,Marshmello,2/9/2018,1869,33.6,1436709386,1231,419951,31,1548579253,15340302,,,,279747036,32,74968,,,,4037,
Entre Nosotros (Remix) [con Nicki Nicole],Entre Nosotros (Remix) [con Nicki Nicole],Tiago PZK,1/5/2022,1866,33.6,297383787,36673,9448129,65,467320988,3360533,,,,595873581,20,12895,8,344197,604,13998,737203
Love Lies (with Normani),Love Lies,Khalid,2/14/2018,1865,33.6,937339123,96612,21547967,67,479514227,3606789,191838,8019207,56608149,88739909,82,177635,68,418186255,99110,,5381698
Tal Para Cual,Tal Para Cual,Salastkbron,1/11/2024,1867,33.6,54141672,5115,10033097,70,89396830,355314,,,,195623398,,183,13,,,,36160
El Tï¿½ï¿½,El Tï¿½ï¿½,Grupo Firme,10/27/2020,1877,33.6,432634168,31429,17749866,59,699174305,2537896,128548,12531029,168805311,19333484,16,5054,38,92147328,21527,,1109128
Sorriso no Rosto,Sorriso no Rosto,Mc IG,5/28/2024,1874,33.6,11576361,935,26514018,71,9310828,224835,,,,104741,2,2,19,,,,
"jealousy, jealousy",SOUR,Olivia Rodrigo,5/21/2021,1878,33.6,884616492,101479,24049783,77,211384847,2822121,94602,92641326,464412661,14107434,32,1529,8,21456287,28539,,1187607
Shaky Shaky,Shaky Shaky,Daddy Yankee,4/8/2016,1872,33.6,355833360,32831,9930933,57,1841152614,6950519,673957,68853618,580818135,246854508,32,9113,22,49501753,161901,,2606582
El Amante,El Amante,Nicky Jam,1/1/2017,1870,33.6,583299836,52696,14027229,64,1463687327,4556113,206254,7981083,107045562,279080167,52,15341,33,196553476,74725,,5312033
ICU,ICU,Coco Jones,10/21/2022,1881,33.5,52106559,13612,2835147,61,70625059,637218,50210,9243349,81185287,143356579,30,173142,36,52357286,37370,4473646,1514755
Way down We Go,Way Down We Go,KALEO,8/7/2015,1879,33.5,1086861259,228925,44949918,79,836662907,8009540,1629364,344124487,4201171109,180196685,25,105889,25,,,,
